ABN,Name,Compliance_Status_2018,Compliance_Status_2019,Compliance_Status_2020,Compliance_Status_2021,Compliance_Status_2022,Compliance_Status_2023,Compliance_Status_2024,Compliance_Status_2025
34086587395,WAM CAPITAL LIMITED,Not Obligated,Not Obligated,Lodger,Lodger,Lodger,Lodger,Non-Lodger,Non-Lodger
34086587395,WAM CAPITAL LIMITED,Not Obligated,Not Obligated,Lodger,Lodger,Lodger,Lodger,Non-Lodger,Non-Lodger
82109203054,LOUIS DREYFUS COMPANY EMERALD AUSTRALIA PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Lodger,Non-Lodger,Not Obligated,Not Obligated
82109203054,LOUIS DREYFUS COMPANY EMERALD AUSTRALIA PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Lodger,Non-Lodger,Not Obligated,Not Obligated
82109203054,LOUIS DREYFUS COMPANY EMERALD AUSTRALIA PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Lodger,Non-Lodger,Not Obligated,Not Obligated
28628011905,SERVCO AUSTRALIA TAMWORTH PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Non-Lodger,Non-Lodger
42102996378,FORM 700 HOLDINGS PTY LTD,Not Obligated,Non-Lodger,Non-Lodger,Non-Lodger,Non-Lodger,Non-Lodger,Non-Lodger,Non-Lodger
87069569517,PACIFIC WEST FOODS AUSTRALIA PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Non-Lodger,Non-Lodger
30163277718,DOWNWARD SPIRAL ENTERPRISES (TAS) PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Lodger,Non-Lodger
68131699655,Wiljuma Pty Ltd,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Non-Lodger,Not Obligated
59663807645,KICK STREAMING PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Non-Lodger
95604136683,ICON CORPORATE SERVICES PTY LTD,Not Obligated,Not Obligated,Non-Lodger,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated
95604136683,ICON CORPORATE SERVICES PTY LTD,Not Obligated,Not Obligated,Non-Lodger,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated
37159149185,DELTA GROUP HOLDINGS PTY. LTD.,Not Obligated,Not Obligated,Lodger,Lodger,Lodger,Lodger,Lodger,Non-Lodger
14127439132,SHERRIDON PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Non-Lodger,Non-Lodger
42004939771,DRAKE AUSTRALIA PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Lodger,Non-Lodger
42004939771,DRAKE AUSTRALIA PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Lodger,Non-Lodger
42004939771,DRAKE AUSTRALIA PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Lodger,Non-Lodger
42004939771,DRAKE AUSTRALIA PTY LTD,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Not Obligated,Lodger,Non-Lodger
